"symbol_time","symbol","cell_text"
"21-Sep-23  09:41 ET","TSLA","Tesla eyeing plans to manufacture and sell battery systems in India, according to Reuters
  (257.13 
-5.46
)
Reuters
 "
"19-Sep-23  14:34 ET","TSLA","Tesla pulls back slightly with WSJ reporting that DOJ probe into Musk's Tesla ""perks"" extends back years
  (266.65 
+1.37
)
WSJ
 "
"18-Sep-23  08:30 ET","TSLA","Tesla and Saudi Arabia have held talks about manufacturing facility in the Kingdom, according to WSJ
  (274.39)
WSJ
; related tickers: 
XPEV
, 
LI
, 
LCID
, 
RIVN
, 
F
, 
GM
 "
"11-Sep-23  12:44 ET","TSLA","Tesla edges slightly lower off midday highs following cautious comment from GLJ Research's Gordon Johnson
  (270.97 
+22.45
)
X post
 "
"01-Sep-23  15:15 ET","TSLA","Tesla CEO Elon Musk responds to DOJ posting ""Just want to reiterate that there is no glass house (metaphors don’t count lol) built, under construction or planned!""
  (243.91 
-14.32
)
X Post
 "
"30-Aug-23  15:29 ET","TSLA","Tesla: DOJ and SEC will soon investigate 
TSLA
 over secret house project, according to WSJ
  (256.10 
-1.07
)
WSJ
 "
"23-Aug-23  14:39 ET","TSLA","Tesla +1.8% mounts a comeback after opening down -1.6%; shares amid a relief rally after tumbling over 18% since Q2 earnings in mid-July
  (237.40 
+4.21
)
 
 "
"23-Aug-23  07:32 ET","TSLA","Tesla Germany plant is lowering production targets, according to Reuters, citing Business Insider
  (233.19)
Reuters
Business Insider
 "
"17-Aug-23  13:50 ET","TSLA","Tesla planning to enter rental car market starting with pilot program in Texas, according to TeslaRati
  (223.19 
-2.47
)
TeslaRati
 (potential related stocks: 
HTZ
, 
CAR
)
 "
"07-Aug-23  09:05 ET","TSLA","Tesla appointed Vaibhav Taneja as Chief Financial Officer in addition to his current role as Chief Accounting Officer, to succeed Zachary Kirkhorn
  (253.86)
Mr. Kirkhorn stepped down as of August 4, after a thirteen-year tenure with the company, the last four years of which he has served as Master of Coin and Chief Financial Officer. During his tenure, Tesla has seen tremendous expansion and growth. Tesla thanks Mr. Kirkhorn for his significant contributions. Mr. Kirkhorn will continue to serve Tesla through the end of the year to support a seamless transition.
  Prior to this appointment as CFO, Mr. Taneja served as Tesla's Chief Accounting Officer since March 2019, as Corporate Controller from May 2018, and as Assistant Corporate Controller between February 2017 and May 2018. Mr. Taneja served in various finance and accounting roles at SolarCity from March 2016. Prior to that, Mr. Taneja was employed at PricewaterhouseCoopers in both India and the U.S. between July 1999 and March 2016.
 "
"07-Aug-23  06:01 ET","TSLA","Tesla CEO Elon Musk tweets ""I’m getting an MRI of my neck & upper back tomorrow.   May require surgery before the fight can happen. Will know this week""
  (253.86)
Tweet
 "
"28-Jul-23  10:20 ET","TSLA","Tesla had discussions with India investment agency, according to Reuters
  (263.47 
+7.78
)
Reuters
 "
"26-Jul-23  16:00 ET","TSLA","Tesla: California will investigate 
TSLA
 over Autopilot safety & marketing, according to CNBC
  (264.31 
-0.90
)
CNBC
 "
