"symbol_time","symbol","cell_text"
"18-Aug-23  09:21 ET","AAPL","Apple: Evercore ISI gives thoughts into September iPhone event
  (174.00)
Analyst Amit Daryanani stated, ""Reportedly, for the base models (iPhone 15 and 15 Plus), 
AAPL
 will eliminate the notch at the top and replace it with the Dynamic Island, a design feature that has been available in the Pro models since the iPhone 14. They will also be upgraded to the A16 chipset, while the cameras are slated to get major upgrades. In contrast, the Pro models are expected to receive relatively more major design updates: The bezels for the Pro models will shrink by ~30% utilizing a new display manufacturing technology called ‘LIPO', which should increase display size. Moreover, not only is the material used in the edges expected to be replaced by titanium (currently stainless steel, which is fingerprint-prone), but the edges themselves will likely get smoothed (i.e., less sharp). The Pro models will, unsurprisingly, get an upgrade to 
AAPL
's latest A17 bionic chipset (3nm), which is purported to be noticeably faster vs. A16 and likely come with some uplift to battery life. Another widely expected change is USB-C connectors replacing the currently used lightning connectors, for both base and Pro model.""
 "
"14-Aug-23  06:35 ET","AAPL","Apple planning overhaul of Apple Watch for 10th anniversary, according to Bloomberg
  (177.79)
Bloomberg
 "
"11-Aug-23  11:29 ET","AAPL","Apple's Major League Soccer streaming subscriptions have doubled since superstar Lionel Messi joined -- CNBC
  (117.48 
-0.25
)
 
 "
"09-Aug-23  12:22 ET","AAPL","Apple: Bloomberg reporting that Supreme Court Justice Kagan rules against Epic Games in Apple payment rules suit; 
AAPL
 can keep App Store rules for now
  (177.76 
-2.04
)
Bloomberg
; Related tickers: 
MTCH
, 
RBLX
 "
"04-Aug-23  10:59 ET","AAPL","Story Stocks: Apple's lighter-than-expected iPhone growth and Q3 guidance takes a bite out of shares today (
AAPL
)
  (185.39 
-5.78
)
The unfavorable macroeconomic climate took a bite out of Apple (
AAPL
 -3%) in Q3 (Jun). The iPhone maker did register decent earnings upside and in-line revs in the quarter. However, iPhone sales came up short of analyst expectations. Other products, including iPad and wearables, also took a hit as...
  Full Article 
 "
"04-Aug-23  09:53 ET","AAPL","Apple's lighter-than-expected iPhone growth and disappointing SepQ guidance takes a bite out of shares today
  (185.40 
-5.77
)
The unfavorable macroeconomic climate took a bite out of 
Apple (
AAPL
 -2%) 
in Q3 (Jun). The iPhone maker did register decent earnings upside and in-line revs in the quarter. However, iPhone sales came up short of analyst expectations. Other products, including iPad and wearables, also took a hit as challenging yr/yr comparisons and FX headwinds added further obstacles. Discouragingly, Apple expects similar sales performance to the 1.4% decline from JunQ in Q4 (Sep), below what analysts forecasted. 
 iPhone revenue slipped by 2% yr/yr in JunQ to $39.7 bln. However, on a constant currency basis, iPhone saw positive growth in the quarter, setting JunQ records in several emerging markets, such as India, which Apple has noted is at a tipping point, and Mexico. iPhone also overcame a difficult demand environment in parts of Europe, setting records across France, the Netherlands, and Austria. 
Unlike last quarter, Mac revenue of $6.8 bln, a 7% dip, topped estimates in JunQ. Apple's transition to running its entire Mac lineup on its in-house silicon likely helped boost Mac sales, given the enormous jump in processing power over previous 
Intel (INTC)
 chips.
Conversely, iPad sales continued to underperform, tumbling 20% yr/yr to $5.8 bln. The lackluster growth stemmed partly from an unfavorable yr/yr comparison when Apple launched the revamped iPad Air. Although iPad comprises the smallest chunk of total revenue, it tends to be the device that attracts first-time customers into the Apple ecosystem, given the poor selection of competing tablets and frustrating Android 
(GOOG) 
support. With iPad more discretionary than a phone or computer, the demand backdrop could hinder new customer growth over the near term. 
However, wearables, including the Apple Watch, which, albeit missed sales estimates,  could fill this void. CFO Luca Maestri mentioned that roughly two-thirds of customers purchasing an Apple Watch were new to the product. When considering one of the best smartwatches to own, the Apple Watch typically tops the leaderboards. Since the best experience on an Apple Watch requires an iPhone, a potential Apple Watch buyer must also consider purchasing an iPhone. 
While product revenue was down 4% yr/yr, Services revenue growth accelerated to +8%, up from the +5% posted in MarQ, reflecting the strength of Apple's ecosystem. As Apple bolsters its global presence, more users are exposed to the numerous services offered through Apple products, including Apple Arcade, Apple TV, and Apple Card, which is required to set up a high-yield savings account that has seen over $10 bln in deposits since its Spring launch. 
Apple's JunQ report was mostly upbeat, containing several highlights from emerging market strength to accelerating Services growth. However, alongside weak iPhone sales, SepQ guidance translates to a possible fourth-straight quarter of declining revenue, a concerning development. Prominent suppliers 
Taiwan Semi (TSM)
 and 
Qualcomm (QCOM)
 have also warned about lingering global demand weakness for the remainder of the year, setting up for a potentially challenging 1Q24 (Dec) for Apple as well. Still, over the longer term, Apple is cementing itself as a leader in consumer tech, with the capacity to expand sales considerably with the upcoming launch of Apple Vision Pro early next year.    
 "
"03-Aug-23  17:27 ET","AAPL","Apple earnings conference call update; provides Q4 (Sep) outlook
  (191.17 
-1.41
)
The company seeing strong sales in emerging markets.
Set all time revenue record in services driven by 1 billion paid subs.
iPad revenue had tough comps.
iPhone active install base reached all time high.
Outlook for Q4 (Sep):
The company expects yr/yr revenue performance to be similar to Q3 (Q3 revenue declined 1.4%; Q4 FactSet consensus calls for roughly flat revenue)
2% impact on F/X.
iPhone and services performance will accelerate from Q3.
Mac and iPad revenue will decline due to tough comps.  The company had supply chain issues with those products
The company expects gross margin between 44-45%.
 "
"03-Aug-23  16:36 ET","AAPL","Apple beats by $0.06, reports revs in-line; iPhones slightly miss 
  (191.17 
-1.41
)
Reports Q3 (Jun) earnings of $1.26 per share, excluding non-recurring items, 
$0.06 
better than
 the FactSet Consensus of $1.20; revenues fell 1.4% year/year to $81.8 bln vs the $81.79 bln FactSet Consensus.
Apple reports Q3 iPhone revenue of $39.7 bln vs. $40.1 bln ests.
Co reported Q3 Mac revenue of $6.8 bln vs. $6.3 bln ests.
Co reported Q3 iPad revenue of $5.8 bln vs. $6.5 bln ests.
Co reported Q3 wearables revenue of $8.3 bln vs. $8.5 bln ests.
Co reported Q3 services revenue of $21.2 bln vs. $20.4 bln ests.
Q3 gross margins of 44.5%.
CEO Tim Cook tells CNBC that headwinds in advertising and gaming have reversed. He said that company has been doing research on AI.
""We are happy to report that we had an all-time revenue record in Services 
during the June quarter, driven by over 1 billion paid subscriptions, and we saw 
continued strength in emerging markets thanks to robust sales of iPhone,"" said 
Tim Cook, Apple's CEO. ""From education to the environment, we are continuing to 
advance our values, while championing innovation that enriches the lives of our 
customers and leaves the world better than we found it.""
""Our June quarter year-over-year business performance improved from the March 
quarter, and our installed base of active devices reached an all-time high in 
every geographic segment,"" said Luca Maestri, Apple's CFO. ""During the quarter, 
we generated very strong operating cash flow of $26 
billion, returned over $24 billion to our 
shareholders, and continued to invest in our long-term growth plans."" 
 "
"03-Aug-23  16:31 ET","AAPL","Apple reports Q3 iPhone revenue of $39.7 bln vs. $40.1 bln ests
 
 "
"03-Aug-23  16:30 ET","AAPL","Apple prelim Q3 $1.26 vs $1.20 FactSet Consensus; revs $81.8 bln vs $81.79 bln FactSet Consensus
 
 "
